Distance_(pixels),Gray_Value
0,0.006055
1,0.004199
2,0.008203
3,0.011035
4,0.046973
5,0.199707
6,0.251563
7,0.256738
8,0.220410
9,0.091309
10,0.032422
11,0.026465
12,0.044434
13,0.201465
14,0.264551
15,0.281055
16,0.250684
17,0.113672
18,0.027637
19,0.016602
20,0.031836
21,0.144629
22,0.237793
23,0.258301
24,0.242676
25,0.126074
26,0.025195
27,0.012109
28,0.007617
29,0.005957
