Distance_(pixels),Gray_Value
0,-0.002930
1,0.001855
2,0.046680
3,0.171094
4,0.179102
5,0.040332
6,0.020020
7,0.142871
8,0.198437
9,0.134668
10,0.016699
11,0.029492
12,0.140527
13,0.145996
14,0.034570
15,0.009277
16,0.005859
