Distance_(pixels),Gray_Value
0,0.041309
1,0.021777
2,0.096094
3,0.332910
4,0.088965
5,0.345605
6,0.125098
7,0.225195
8,0.173926
9,0.173926
10,0.022266
11,0.010645
