Distance_(pixels),Gray_Value
0,0.008398
1,0.008984
2,0.015723
3,0.075684
4,0.222559
5,0.227734
6,0.239551
7,0.263965
8,0.279980
9,0.275586
10,0.234082
11,0.195312
12,0.043262
13,0.014062
14,0.008398
15,0.008789
16,0.007910
17,0.009277
18,0.016895
19,0.052637
20,0.304297
21,0.337012
22,0.333398
23,0.292188
24,0.292480
25,0.303906
26,0.283691
27,0.233887
28,0.061719
29,0.016895
30,0.008301
31,0.006543
32,0.007129
33,0.004297
