Group,Element,Line width,I_max,I_min,Contrast
0,2,445.45,241,7,0.94
0,3,396.85,238,13,0.9
0,4,353.55,211,16,0.86
0,5,314.98,308,23,0.86
0,6,280.62,387,60,0.73
1,1,250,243,33,0.76
1,2,222.72,199,30,0.74
1,3,198.43,234,61,0.59
1,4,176.78,175,55,0.52
1,5,157.49,201,64,0.52
1,6,140.31,189,56,0.54
2,1,125,215,88,0.42
2,2,111.36,146,63,0.4
2,3,99.21,177,92,0.32
2,4,88.49,135,89,0.21
2,5,78.75,124,89,0.16
2,6,70.15,112,105,0.03
3,1,62.5,113,104,0.04
