Distance_(pixels),Gray_Value
0,0.071875
1,0.102930
2,0.171582
3,0.250293
4,0.267188
5,0.267188
6,0.274805
7,0.265723
8,0.235156
9,0.210547
10,0.177051
11,0.126270
12,0.086035
13,0.063477
14,0.055859
15,0.058789
16,0.082910
17,0.108691
18,0.137500
19,0.162305
20,0.185937
21,0.181445
22,0.173535
23,0.153125
24,0.132812
25,0.095703
26,0.075488
27,0.049219
28,0.036914
29,0.029395
30,0.031738
31,0.035742
32,0.044727
