Distance_(pixels),Gray_Value
0,0.049805
1,0.059082
2,0.074805
3,0.127148
4,0.186035
5,0.250684
6,0.273535
7,0.284375
8,0.274023
9,0.251660
10,0.214062
11,0.190332
12,0.131836
13,0.093750
14,0.067188
15,0.057324
16,0.041602
17,0.062012
18,0.075293
19,0.101172
20,0.134570
21,0.159863
22,0.168848
23,0.172559
24,0.172852
25,0.169629
26,0.139062
27,0.120215
28,0.085254
29,0.064648
30,0.045508
31,0.033887
32,0.025000
33,0.023340
34,0.024512
