name,mean,median,std,mean 1std,std_norm
7,0.37409592848557693,0.373400879,0.044593258,0.3739066339308216,0.1192027345769009
8,0.24766063201121793,0.24813232421874998,0.025458763,0.24933960204590822,0.1027969713174781
9,0.1368047626201923,0.138012695,0.016643098,0.13856517145309588,0.12165583875425859
10,0.063037735,0.063391113,0.006534897,0.063384793,0.10366643155756426
11,0.035901254507211544,0.03515625,0.00396515,0.035281762,0.11044600109874332
12,0.022519343,0.021948242,0.003163701,0.021963277102437256,0.14048816842361628
13,0.018226725260416667,0.01784668,0.00253361,0.018018717,0.13900520925818866
