Distance_(pixels),Gray_Value
0,0.007617
1,0.009277
2,0.015723
3,0.040430
4,0.124512
5,0.219336
6,0.301074
7,0.279980
8,0.199023
9,0.110156
10,0.072070
11,0.110840
12,0.170898
13,0.231543
14,0.224414
15,0.150195
16,0.083301
17,0.048926
18,0.077734
19,0.146094
20,0.207813
21,0.218066
22,0.152246
23,0.098145
24,0.035449
25,0.012988
26,0.009961
