Distance_(pixels),Gray_Value
0,0.009961
1,0.015332
2,0.017188
3,0.052441
4,0.105957
5,0.165039
6,0.189648
7,0.176660
8,0.122852
9,0.077246
10,0.035742
11,0.022168
12,0.000000
13,0.093359
14,0.155078
15,0.191406
16,0.184277
17,0.140625
18,0.079492
19,0.042285
20,0.022656
21,0.039551
22,0.085059
23,0.147461
24,0.182715
25,0.182520
26,0.145605
27,0.098145
28,0.045703
29,0.019531
30,0.013086
31,0.010449
