Distance_(pixels),Gray_Value
0,0.027637
1,0.047559
2,0.081055
3,0.131543
4,0.179297
5,0.230762
6,0.294141
7,0.311523
8,0.327344
9,0.323438
10,0.287598
11,0.241113
12,0.223438
13,0.198535
14,0.179980
15,0.179492
16,0.213770
17,0.244531
18,0.273340
19,0.265527
20,0.261621
21,0.235742
22,0.217676
23,0.172070
24,0.140137
25,0.111133
26,0.110840
27,0.103125
28,0.116602
29,0.117871
30,0.127148
31,0.122461
32,0.113574
33,0.092578
