Distance_(pixels),Gray_Value
0,0.058398
1,0.096387
2,0.145996
3,0.219824
4,0.296875
5,0.336719
6,0.390234
7,0.378320
8,0.383496
9,0.345605
10,0.313770
11,0.270703
12,0.263574
13,0.283496
14,0.293555
15,0.313086
16,0.324219
17,0.345313
18,0.317871
19,0.300879
20,0.267090
21,0.220996
22,0.188770
23,0.172266
24,0.187402
25,0.179395
26,0.178906
27,0.182129
28,0.159766
29,0.148145
30,0.114453
31,0.081348
32,0.050879
33,0.030469
34,NaN
