Group,Element,Line width,I_max,I_min,Contrast
0,2,445.45,173,42,0.61
0,3,396.85,186,56,0.54
0,4,353.55,200,82,0.42
0,5,314.98,273,180,0.21
0,6,280.62,345,263,0.13
