Distance_(pixels),Gray_Value
0,0.023730
1,0.020996
2,0.019824
3,0.033691
4,0.071680
5,0.110254
6,0.142480
7,0.127539
8,0.096973
9,0.065820
10,0.083691
11,0.140723
12,0.187500
13,0.191797
14,0.147656
15,0.101172
16,0.075781
17,0.095508
18,0.137598
19,0.152832
20,0.131641
21,0.094434
22,0.049902
23,0.021680
24,0.013965
25,0.013672
26,0.009766
27,0.011523
