Distance_(pixels),Gray_Value
0,0.013770
1,0.017383
2,0.043945
3,0.112305
4,0.190137
5,0.261914
6,0.300195
7,0.315332
8,0.329785
9,0.359375
10,0.327246
11,0.264941
12,0.169141
13,0.089160
14,0.030957
15,0.015332
16,0.014160
17,0.016406
18,0.029785
19,0.075391
20,0.126172
21,0.178711
22,0.208301
23,0.215039
24,0.185645
25,0.172754
26,0.139551
27,0.109082
28,0.074316
29,0.042969
30,0.016895
31,0.008105
32,0.007812
33,0.005957
