,angle,pm_value
0,-60.0,0.7566978432671081
1,-59.0,0.779416357615894
2,-58.0,0.7350459315673289
3,-57.0,0.7534198653421633
4,-56.0,0.7896188631346578
5,-55.0,0.8255255121412803
6,-54.0,0.8271339977924945
7,-53.0,0.7984880662251655
8,-52.0,0.7946163973509933
9,-51.0,0.7789699713024283
10,-50.0,0.620660655629139
11,-49.0,0.62411559602649
12,-48.0,0.82577946799117
13,-47.0,0.8410520264900662
14,-46.0,0.8658043399558498
15,-45.0,0.7070539315673289
16,-44.0,0.6736472052980133
17,-43.0,0.7953764105960264
18,-42.0,0.8903214569536423
19,-41.0,0.8626439072847681
20,-40.0,0.8000399624724062
21,-39.0,0.8304151103752759
22,-38.0,0.6633883686534217
23,-37.0,0.7288758167770418
24,-36.0,0.8698409955849888
25,-35.0,0.8136418454746137
26,-34.0,0.7348260529801324
27,-33.0,0.7687604238410596
28,-32.0,0.8214404900662251
29,-31.0,0.8663623112582782
30,-30.0,0.7635694326710817
31,-29.0,0.511595072847682
32,-28.0,0.4543670485651214
33,-27.0,0.31257079690949224
34,-26.0,0.11426492781456954
35,-25.0,0.08175247350993377
36,-24.0,0.0078419219205298
37,-23.0,0.001216829123620309
38,-22.0,0.0004583210838852097
39,-21.0,0.00023333427814569536
40,-20.0,0.00020858529426048564
41,-19.0,0.00026426583222958057
42,-18.0,0.00018375042958057393
43,-17.0,0.00014114178233995585
44,-16.0,0.00015848946534216334
45,-15.0,0.0002046671136865342
46,-14.0,0.0003224756004415011
47,-13.0,0.0003309134481236203
48,-12.0,0.0001216386298013245
49,-11.0,9.398194105960265e-05
50,-10.0,8.406583885209712e-05
51,-9.0,7.999566181015453e-05
52,-8.0,8.48677889624724e-05
53,-7.0,0.00010294270375275937
54,-6.0,0.00013305729293598234
55,-5.0,0.0001610732558498896
56,-4.5,0.0001688977461368653
57,-4.0,0.00017057810286975715
58,-3.5,0.00016965455430463576
59,-3.0,0.0001670159655629139
60,-2.5,0.0001625163132450331
61,-2.0,0.000153992159602649
62,-1.5,0.0001405155761589404
63,-1.0,0.00012671152207505517
64,-0.5,0.00011334546357615894
65,0.0,0.00010294686357615893
66,0.5,9.423618675496688e-05
67,1.0,8.844221103752759e-05
68,1.5,8.382111103752758e-05
69,2.0,8.085352052980132e-05
70,2.5,7.910226026490066e-05
71,3.0,7.79894655629139e-05
72,3.5,7.821150618101545e-05
73,4.0,7.712499381898453e-05
74,4.5,7.693023289183223e-05
75,5.0,7.749125121412803e-05
76,6.0,7.901136092715231e-05
77,7.0,8.165003752759382e-05
78,8.0,8.546861633554083e-05
79,9.0,9.087250573951435e-05
80,10.0,0.00010147042781456953
81,11.0,0.00016698578697571742
82,12.0,0.0003681790397350993
83,13.0,0.00025978704856512136
84,14.0,0.0001948745362030905
85,15.0,0.00018063914966887418
86,16.0,0.0002056848242825607
87,17.0,0.00030753024944812365
88,18.0,0.00032371589183222957
89,19.0,0.0002637714326710817
90,20.0,0.00027633776821192054
91,21.0,0.000419273293598234
92,22.0,0.0015419115408388522
93,23.0,0.021792574017660046
94,24.0,0.1055742476821192
95,25.0,0.14421765209713025
96,26.0,0.45917363796909494
97,27.0,0.4220790905077263
98,28.0,0.6140904635761589
99,29.0,0.8135836644591611
100,30.0,0.8344705783664459
101,31.0,0.7856853112582781
102,32.0,0.7206465121412803
103,33.0,0.7324990816777042
104,34.0,0.8183773554083885
105,35.0,0.7971688476821192
106,36.0,0.6415602119205298
107,37.0,0.6936853399558499
108,38.0,0.8110115275938189
109,39.0,0.7637683929359823
110,40.0,0.8695180132450331
111,41.0,0.8240012163355408
112,42.0,0.7229916247240618
113,43.0,0.6357733686534216
114,44.0,0.7764315011037527
115,45.0,0.8490715783664459
116,46.0,0.8454873222958057
117,47.0,0.7387464988962472
118,48.0,0.5805365849889624
119,49.0,0.6895402362030906
120,50.0,0.803993766004415
121,51.0,0.7902000154525386
122,52.0,0.8105314238410596
123,53.0,0.8307668741721854
124,54.0,0.8107527417218543
125,55.0,0.7728071545253863
126,56.0,0.7391583465783664
127,57.0,0.7447577947019868
128,58.0,0.7914441942604856
129,59.0,0.6945203951434878
130,60.0,0.520141293598234
