Group,Element,Line width,I_max,I_min,Contrast
0,2,445.45,359,14,0.92
0,3,396.85,407,0,1
0,4,353.55,236,15,0.88
0,5,314.98,287,19,0.88
0,6,280.62,186,12,0.88
1,1,250,191,23,0.79
1,2,222.72,264,41,0.73
1,3,198.43,201,25,0.78
1,4,176.78,209,31,0.74
1,5,157.49,225,42,0.69
1,6,140.31,259,55,0.65
2,1,125,169,58,0.49
2,2,111.36,156,63,0.42
2,3,99.21,205,114,0.29
2,4,88.49,101,61,0.25
2,5,78.75,273,167,0.24
2,6,70.15,312,231,0.15
3,1,62.5,323,248,0.13
