ratio,pixel_std
0.048975257731958766,64.61705523271914
0.07346288659793815,63.78220194471296
0.09795051546391753,62.73466095332205
0.17141340206185568,58.6885695555091
0.2693639175257732,52.02788645992569
0.4407773195876289,38.3100265991745
0.6856536082474227,18.34291780537026
1.1019432989690723,6.687935372954207
1.7141340206185567,2.4323628884922455
2.693639175257732,2.3515604890023765
4.211872164948454,1.5844767909022042
6.562684536082474,1.5098157354213213
10.284804123711341,1.3390911148520408
16.039396907216496,1.255084082344965
25.075331958762888,0.7042253521126761
