Distance_(pixels),Gray_Value
0,0.013770
1,0.010547
2,0.016504
3,0.053906
4,0.121680
5,0.118164
6,0.089258
7,0.124121
8,0.108594
9,0.095117
10,0.123730
11,0.089844
12,0.033398
13,0.010937
14,0.011230
