Distance_(pixels),Gray_Value
0,0.006934
1,0.014941
2,0.054004
3,0.143652
4,0.218066
5,0.243164
6,0.240234
7,0.179883
8,0.083398
9,0.035840
10,0.033301
11,0.067383
12,0.154980
13,0.225098
14,0.242383
15,0.227832
16,0.161914
17,0.081250
18,0.035254
19,0.024902
20,0.042773
21,0.102637
22,0.154687
23,0.154980
24,0.144336
25,0.107324
26,0.052344
27,0.016699
28,0.007422
29,0.005273
