Distance_(pixels),Gray_Value
0,0.011035
1,0.010059
2,0.023242
3,0.077441
4,0.148340
5,0.124219
6,0.088867
7,0.134668
8,0.130957
9,0.091797
10,0.118164
11,0.133789
12,0.070508
13,0.025195
14,0.009863
15,0.011133
