Distance_(pixels),Gray_Value
0,0.011133
1,0.012207
2,0.016895
3,0.032422
4,0.087207
5,0.204395
6,0.238379
7,0.159277
8,0.087793
9,0.139453
10,0.215137
11,0.178613
12,0.098535
13,0.079102
14,0.149609
15,0.195020
16,0.130371
17,0.044629
18,0.010156
19,0.006445
20,0.006348
21,0.004102
22,0.003809
