Distance_(pixels),Gray_Value
0,0.012402
1,0.042285
2,0.086035
3,0.098340
4,0.104590
5,0.104590
6,0.113379
7,0.092090
8,0.103418
9,0.080859
10,0.046680
11,0.039648
