Distance_(pixels),Gray_Value
0,0.007715
1,0.008887
2,0.011035
3,0.028027
4,0.088965
5,0.168750
6,0.149316
7,0.091797
8,0.128418
9,0.177344
10,0.122949
11,0.081543
12,0.140527
13,0.137891
14,0.063672
15,0.019434
16,0.010937
17,0.009082
